,Baseline,Segmented (Weighted),Stacked Ensemble
RMSE,201.40215785275115,100.28263383470549,109.785164806463
MAE,117.29257522280267,46.11079035034305,49.475395919706195
R2,0.9415294073554719,0.981655665494652,0.9833161283998283
